,lente,rapide,benef
799,50,16,-2.463
800,1,17,5.978
801,2,17,11.238
802,3,17,12.681
803,4,17,4.996
804,5,17,5.66
805,6,17,3.986
806,7,17,2.403
807,8,17,-0.852
808,9,17,2.233
809,10,17,3.391
810,11,17,1.712
811,12,17,-1.14
812,13,17,1.39
813,14,17,-2.133
814,15,17,-1.104
815,16,17,5.686
816,17,17,0.0
817,18,17,3.315
818,19,17,4.587
819,20,17,10.635
820,21,17,14.389
821,22,17,16.82
822,23,17,13.202
823,24,17,11.879
824,25,17,0.107
825,26,17,-0.18
826,27,17,0.718
827,28,17,0.728
828,29,17,0.59
829,30,17,2.24
830,31,17,3.241
831,32,17,-0.206
832,33,17,-0.398
833,34,17,-2.096
834,35,17,-0.576
835,36,17,-2.026
836,37,17,-2.841
837,38,17,-2.841
838,39,17,-3.745
839,40,17,-3.745
840,41,17,-3.134
841,42,17,-3.134
842,43,17,-2.11
843,44,17,-2.11
844,45,17,-2.11
845,46,17,-2.416
846,47,17,-6.791
847,48,17,-6.476
848,49,17,-6.476
849,50,17,-2.463
850,1,18,8.985
851,2,18,13.931
852,3,18,11.978
853,4,18,5.887
854,5,18,7.412
855,6,18,2.168
856,7,18,2.179
857,8,18,1.908
858,9,18,3.08
859,10,18,4.871
860,11,18,-0.009
861,12,18,-1.679
862,13,18,1.118
863,14,18,-2.098
864,15,18,2.617
865,16,18,1.579
866,17,18,5.332
867,18,18,0.0
868,19,18,9.717
869,20,18,15.691
870,21,18,12.898
871,22,18,13.941
872,23,18,12.468
873,24,18,12.031
874,25,18,1.273
875,26,18,0.187
876,27,18,1.317
877,28,18,1.376
878,29,18,1.951
879,30,18,0.197
880,31,18,4.047
881,32,18,-0.677
882,33,18,-0.869
883,34,18,-2.168
884,35,18,-2.564
885,36,18,-3.085
886,37,18,-3.891
887,38,18,-4.257
888,39,18,-4.785
889,40,18,-3.409
890,41,18,-2.262
891,42,18,-2.11
892,43,18,-2.11
893,44,18,-2.055
894,45,18,-2.416
895,46,18,-2.416
896,47,18,-6.859
897,48,18,-6.988
898,49,18,-5.961
899,50,18,-5.961
900,1,19,6.557
901,2,19,7.837
902,3,19,11.926
903,4,19,4.918
904,5,19,1.87
905,6,19,0.741
906,7,19,0.407
907,8,19,2.069
908,9,19,1.764
909,10,19,2.995
910,11,19,0.042
911,12,19,4.741
912,13,19,0.919
913,14,19,-3.303
914,15,19,0.442
915,16,19,3.624
916,17,19,3.646
917,18,19,-1.2
918,19,19,0.0
919,20,19,11.099
920,21,19,9.863
921,22,19,12.695
922,23,19,13.301
923,24,19,13.286
924,25,19,14.124
925,26,19,-1.51
926,27,19,1.193
927,28,19,0.439
928,29,19,0.3
929,30,19,2.566
930,31,19,2.205
931,32,19,1.578
932,33,19,-1.024
933,34,19,-1.354
934,35,19,-2.934
935,36,19,-3.085
936,37,19,-3.512
937,38,19,-3.512
938,39,19,-4.044
939,40,19,-2.262
940,41,19,-6.276
941,42,19,-2.055
942,43,19,-2.055
943,44,19,-2.416
944,45,19,-2.416
945,46,19,-2.416
946,47,19,-1.879
947,48,19,-6.431
948,49,19,-8.908
949,50,19,-5.618
950,1,20,6.477
951,2,20,8.459
952,3,20,8.568
953,4,20,0.485
954,5,20,1.605
955,6,20,-0.76
956,7,20,-1.438
957,8,20,2.286
958,9,20,1.797
959,10,20,2.383
960,11,20,1.328
961,12,20,-0.197
962,13,20,0.201
963,14,20,-2.067
964,15,20,2.319
965,16,20,3.51
966,17,20,-2.021
967,18,20,-5.378
968,19,20,-0.663
969,20,20,0.0
970,21,20,4.827
971,22,20,8.099
972,23,20,12.243
973,24,20,12.859
974,25,20,14.612
975,26,20,12.553
976,27,20,0.019
977,28,20,0.56
978,29,20,4.256
979,30,20,4.153
980,31,20,3.122
981,32,20,-0.477
982,33,20,0.45
983,34,20,1.23
984,35,20,-2.113
985,36,20,-2.486
986,37,20,-2.427
987,38,20,-3.181
988,39,20,-2.162
989,40,20,-2.208
990,41,20,-6.13
991,42,20,-2.055
992,43,20,-1.832
993,44,20,-1.832
994,45,20,-1.832
995,46,20,-1.879
996,47,20,-1.879
997,48,20,-8.908
998,49,20,-8.576
999,50,20,-8.484
