Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
12/02/2015,"305,05","305,05","305,05","305,05",,"0,00%",305.05,305.05,305.05,305.05
13/02/2015,"300,01","300,01","300,01","300,01",,"-1,65%",300.01,300.01,300.01,300.01
16/02/2015,"304,37","304,37","304,37","304,37",,"1,45%",304.37,304.37,304.37,304.37
17/02/2015,"304,37","304,37","304,37","304,37",,"0,00%",304.37,304.37,304.37,304.37
18/02/2015,"304,37","304,37","304,37","304,37",,"0,00%",304.37,304.37,304.37,304.37
19/02/2015,"306,71","306,71","306,71","306,71",,"0,77%",306.71,306.71,306.71,306.71
20/02/2015,"307,02","307,02","307,02","307,02",,"0,10%",307.02,307.02,307.02,307.02
23/02/2015,"313,27","313,27","313,27","313,27",,"2,04%",313.27,313.27,313.27,313.27
24/02/2015,"312,95","312,95","312,95","312,95",,"-0,10%",312.95,312.95,312.95,312.95
25/02/2015,"314,93","314,93","314,93","314,93",,"0,63%",314.93,314.93,314.93,314.93
26/02/2015,"315,27","315,27","315,27","315,27",,"0,11%",315.27,315.27,315.27,315.27
27/02/2015,"320,54","320,54","320,54","320,54",,"1,67%",320.54,320.54,320.54,320.54
02/03/2015,"329,46","329,46","329,46","329,46",,"2,78%",329.46,329.46,329.46,329.46
03/03/2015,"337,51","337,51","337,51","337,51",,"2,44%",337.51,337.51,337.51,337.51
04/03/2015,"336,93","336,93","336,93","336,93",,"-0,17%",336.93,336.93,336.93,336.93
05/03/2015,"341,61","341,61","341,61","341,61",,"1,39%",341.61,341.61,341.61,341.61
06/03/2015,"346,14","346,14","346,14","346,14",,"1,33%",346.14,346.14,346.14,346.14
09/03/2015,"351,20","351,20","351,20","351,20",,"1,46%",351.2,351.2,351.2,351.2
10/03/2015,"356,43","356,43","356,43","356,43",,"1,49%",356.43,356.43,356.43,356.43
11/03/2015,"357,65","357,65","357,65","357,65",,"0,34%",357.65,357.65,357.65,357.65
12/03/2015,"366,70","366,70","366,70","366,70",,"2,53%",366.7,366.7,366.7,366.7
13/03/2015,"372,82","372,82","372,82","372,82",,"1,67%",372.82,372.82,372.82,372.82
16/03/2015,"377,72","377,72","377,72","377,72",,"1,31%",377.72,377.72,377.72,377.72
17/03/2015,"376,86","376,86","376,86","376,86",,"-0,23%",376.86,376.86,376.86,376.86
18/03/2015,"369,03","369,03","369,03","369,03",,"-2,08%",369.03,369.03,369.03,369.03
19/03/2015,"365,72","365,72","365,72","365,72",,"-0,90%",365.72,365.72,365.72,365.72
20/03/2015,"371,64","371,64","371,64","371,64",,"1,62%",371.64,371.64,371.64,371.64
23/03/2015,"373,04","373,04","373,04","373,04",,"0,38%",373.04,373.04,373.04,373.04
24/03/2015,"378,29","378,29","378,29","378,29",,"1,41%",378.29,378.29,378.29,378.29
25/03/2015,"382,17","382,17","382,17","382,17",,"1,03%",382.17,382.17,382.17,382.17
26/03/2015,"388,11","388,11","388,11","388,11",,"1,55%",388.11,388.11,388.11,388.11
27/03/2015,"391,13","391,13","391,13","391,13",,"0,78%",391.13,391.13,391.13,391.13
30/03/2015,"396,02","396,02","396,02","396,02",,"1,25%",396.02,396.02,396.02,396.02
31/03/2015,"389,20","389,20","389,20","389,20",,"-1,72%",389.2,389.2,389.2,389.2
01/04/2015,"394,19","394,19","394,19","394,19",,"1,28%",394.19,394.19,394.19,394.19
02/04/2015,"391,58","391,58","391,58","391,58",,"-0,66%",391.58,391.58,391.58,391.58
03/04/2015,"380,58","380,58","380,58","380,58",,"-2,81%",380.58,380.58,380.58,380.58
07/04/2015,"373,24","373,24","373,24","373,24",,"-1,93%",373.24,373.24,373.24,373.24
08/04/2015,"365,59","365,59","365,59","365,59",,"-2,05%",365.59,365.59,365.59,365.59
09/04/2015,"365,02","365,02","365,02","365,02",,"-0,16%",365.02,365.02,365.02,365.02
10/04/2015,"367,35","367,35","367,35","367,35",,"0,64%",367.35,367.35,367.35,367.35
13/04/2015,"367,47","367,47","367,47","367,47",,"0,03%",367.47,367.47,367.47,367.47
14/04/2015,"371,03","371,03","371,03","371,03",,"0,97%",371.03,371.03,371.03,371.03
15/04/2015,"376,33","376,33","376,33","376,33",,"1,43%",376.33,376.33,376.33,376.33
