Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
23/09/2015,72.0,72.0,72.0,72.0,"0,01K","2,86%",72.0,72.0,72.0,72.0
28/09/2015,73.0,73.0,73.0,73.0,"0,07K","1,39%",73.0,73.0,73.0,73.0
29/09/2015,73.0,73.0,73.0,73.0,"0,01K","0,00%",73.0,73.0,73.0,73.0
30/09/2015,73.0,73.0,73.0,73.0,"0,01K","0,00%",73.0,73.0,73.0,73.0
01/10/2015,75.0,75.0,75.0,75.0,"0,01K","2,74%",75.0,75.0,75.0,75.0
02/10/2015,74.0,74.0,74.0,74.0,"0,00K","-1,33%",74.0,74.0,74.0,74.0
06/10/2015,75.0,75.0,75.0,75.0,"0,01K","1,35%",75.0,75.0,75.0,75.0
08/10/2015,75.11,75.11,75.11,75.11,"0,01K","0,15%",75.11,75.11,75.11,75.11
09/10/2015,75.11,75.11,75.11,75.11,"0,01K","0,00%",75.11,75.11,75.11,75.11
13/10/2015,80.74,80.74,80.74,80.74,"0,00K","7,50%",80.74,80.74,80.74,80.74
14/10/2015,86.795,86.795,86.795,86.795,"0,00K","7,50%",86.795,86.795,86.795,86.795
15/10/2015,88.0,88.0,88.0,88.0,"0,00K","1,39%",88.0,88.0,88.0,88.0
16/10/2015,88.0,88.0,88.0,88.0,"0,00K","0,00%",88.0,88.0,88.0,88.0
19/10/2015,90.0,90.0,90.0,90.0,"0,01K","2,27%",90.0,90.0,90.0,90.0
22/10/2015,90.0,90.0,90.0,90.0,"0,00K","0,00%",90.0,90.0,90.0,90.0
26/10/2015,90.0,90.0,90.0,90.0,"0,14K","0,00%",90.0,90.0,90.0,90.0
27/10/2015,90.0,90.0,90.0,90.0,"0,02K","0,00%",90.0,90.0,90.0,90.0
28/10/2015,90.0,90.0,90.0,90.0,"0,01K","0,00%",90.0,90.0,90.0,90.0
29/10/2015,90.0,90.0,90.0,90.0,"0,00K","0,00%",90.0,90.0,90.0,90.0
30/10/2015,90.0,90.0,90.0,90.0,"0,01K","0,00%",90.0,90.0,90.0,90.0
